num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double; 5016.93220; 1486.49843;    0.72233;   3623878656;   1073741824;         4;         8;       13
      double; 5393.14407; 1487.76388;    0.72172;   3892314112;   1073741824;         4;         8;       14
      double; 5748.77190; 1483.55404;    0.72376;   4160749568;   1073741824;         4;         8;       15
      double; 6135.28499; 1487.34182;    0.72192;   4429185024;   1073741824;         4;         8;       16
      double; 9015.33955; 1471.89217;    0.72950;   6576668672;   1073741824;         4;         8;       24
      double; 9270.59835; 1140.99672;    0.94106;   8724152320;   1073741824;         4;         8;       32
      double; 9352.38877;  923.69272;    1.16244;  10871635968;   1073741824;         4;         8;       40
      double; 9398.27282;  775.11528;    1.38527;  13019119616;   1073741824;         4;         8;       48
      double; 9438.65434;  668.22332;    1.60686;  15166603264;   1073741824;         4;         8;       56
      double; 9466.06661;  587.04289;    1.82907;  17314086912;   1073741824;         4;         8;       64
      double; 9565.94072;  297.77247;    3.60591;  34493956096;   1073741824;         4;         8;      128
      double; 9599.51288;  199.47040;    5.38296;  51673825280;   1073741824;         4;         8;      192
      double; 9503.87789;  148.20862;    7.24480;  68853694464;   1073741824;         4;         8;      256
      double; 9583.47342;   74.79784;   14.35525; 137573171200;   1073741824;         4;         8;      512
 Ac<3, d, d>;  187.08536; 1496.68289;    0.71741;    134217728;   1073741824;         1;         4;        0
 Ac<3, d, d>;  561.57671; 1497.53790;    0.71700;    402653184;   1073741824;         1;         4;        1
 Ac<3, d, d>;  935.15984; 1496.25575;    0.71762;    671088640;   1073741824;         1;         4;        2
 Ac<3, d, d>; 1309.59753; 1496.68289;    0.71741;    939524096;   1073741824;         1;         4;        3
 Ac<3, d, d>; 1683.76825; 1496.68289;    0.71741;   1207959552;   1073741824;         1;         4;        4
 Ac<3, d, d>; 2057.35165; 1496.25575;    0.71762;   1476395008;   1073741824;         1;         4;        5
 Ac<3, d, d>; 2432.10969; 1496.68289;    0.71741;   1744830464;   1073741824;         1;         4;        6
 Ac<3, d, d>; 2802.28055; 1494.54963;    0.71844;   2013265920;   1073741824;         1;         4;        7
 Ac<3, d, d>; 3175.01288; 1494.12371;    0.71864;   2281701376;   1073741824;         1;         4;        8
 Ac<3, d, d>; 3551.58023; 1495.40220;    0.71803;   2550136832;   1073741824;         1;         4;        9
 Ac<3, d, d>; 3924.31146; 1494.97579;    0.71823;   2818572288;   1073741824;         1;         4;       10
 Ac<3, d, d>; 4298.05541; 1494.97579;    0.71823;   3087007744;   1073741824;         1;         4;       11
 Ac<3, d, d>; 4670.46759; 1494.54963;    0.71844;   3355443200;   1073741824;         1;         4;       12
 Ac<3, d, d>; 5039.79499; 1493.27259;    0.71905;   3623878656;   1073741824;         1;         4;       13
 Ac<3, d, d>; 5413.11314; 1493.27259;    0.71905;   3892314112;   1073741824;         1;         4;       14
 Ac<3, d, d>; 5786.43128; 1493.27259;    0.71905;   4160749568;   1073741824;         1;         4;       15
 Ac<3, d, d>; 6152.73971; 1491.57326;    0.71987;   4429185024;   1073741824;         1;         4;       16
 Ac<3, d, d>; 9141.08746; 1492.42244;    0.71946;   6576668672;   1073741824;         1;         4;       24
 Ac<3, d, d>; 9282.71951; 1142.48856;    0.93983;   8724152320;   1073741824;         1;         4;       32
 Ac<3, d, d>; 9365.58913;  924.99646;    1.16081;  10871635968;   1073741824;         1;         4;       40
 Ac<3, d, d>; 9420.55698;  776.95315;    1.38199;  13019119616;   1073741824;         1;         4;       48
 Ac<3, d, d>; 9457.94095;  669.58874;    1.60358;  15166603264;   1073741824;         1;         4;       56
