   Precision;   [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
 Ac<3, d, d>; 4651.90227; 1488.60873;    0.72131;   3355443200;   1073741824;         4;         8;       12
 Ac<3, d, d>; 5018.35497; 1486.91999;    0.72212;   3623878656;   1073741824;         4;         8;       13
 Ac<3, d, d>; 5399.27269; 1489.45453;    0.72090;   3892314112;   1073741824;         4;         8;       14
 Ac<3, d, d>; 5766.72146; 1488.18618;    0.72151;   4160749568;   1073741824;         4;         8;       15
 Ac<3, d, d>; 6131.80593; 1486.49841;    0.72233;   4429185024;   1073741824;         4;         8;       16
 Ac<3, d, d>; 9028.01232; 1473.96120;    0.72847;   6576668672;   1073741824;         4;         8;       24
 Ac<3, d, d>; 9352.00868; 1151.01645;    0.93286;   8724152320;   1073741824;         4;         8;       32
 Ac<3, d, d>; 9428.80318;  931.23982;    1.15302;  10871635968;   1073741824;         4;         8;       40
 Ac<3, d, d>; 9480.97265;  781.93589;    1.37318;  13019119616;   1073741824;         4;         8;       48
 Ac<3, d, d>; 9489.45150;  671.81958;    1.59826;  15166603264;   1073741824;         4;         8;       56
 Ac<3, d, d>; 9514.00390;  590.01575;    1.81985;  17314086912;   1073741824;         4;         8;       64
 Ac<3, d, d>; 9618.38417;  299.40495;    3.58625;  34493956096;   1073741824;         4;         8;      128
 Ac<3, d, d>; 9655.34954;  200.63064;    5.35183;  51673825280;   1073741824;         4;         8;      192
 Ac<3, d, d>; 9644.55887;  150.40248;    7.13912;  68853694464;   1073741824;         4;         8;      256
 Ac<3, d, d>; 9678.75058;   75.54147;   14.21394; 137573171200;   1073741824;         4;         8;      512
 Ac<3, d, f>;  366.12290; 1464.49161;    0.36659;    134217728;    536870912;         1;         8;        0
 Ac<3, d, f>; 1098.98269; 1465.31025;    0.36639;    402653184;    536870912;         1;         8;        1
 Ac<3, d, f>; 1832.66220; 1466.12976;    0.36618;    671088640;    536870912;         1;         8;        2
 Ac<3, d, f>; 2562.86036; 1464.49164;    0.36659;    939524096;    536870912;         1;         8;        3
 Ac<3, d, f>; 3296.94801; 1465.31023;    0.36639;   1207959552;    536870912;         1;         8;        4
 Ac<3, d, f>; 4020.61356; 1462.04129;    0.36721;   1476395008;    536870912;         1;         8;        5
 Ac<3, d, f>; 4759.59782; 1464.49164;    0.36659;   1744830464;    536870912;         1;         8;        6
 Ac<3, d, f>; 5476.54591; 1460.41224;    0.36762;   2013265920;    536870912;         1;         8;        7
 Ac<3, d, f>; 6217.14297; 1462.85717;    0.36700;   2281701376;    536870912;         1;         8;        8
 Ac<3, d, f>; 6940.82504; 1461.22632;    0.36741;   2550136832;    536870912;         1;         8;        9
 Ac<3, d, f>; 7667.16439; 1460.41227;    0.36762;   2818572288;    536870912;         1;         8;       10
 Ac<3, d, f>; 8383.35923; 1457.97552;    0.36823;   3087007744;    536870912;         1;         8;       11
 Ac<3, d, f>; 9012.10112; 1441.93618;    0.37233;   3355443200;    536870912;         1;         8;       12
 Ac<3, d, f>; 9111.59655; 1349.86616;    0.39772;   3623878656;    536870912;         1;         8;       13
 Ac<3, d, f>; 9159.24846; 1263.34462;    0.42496;   3892314112;    536870912;         1;         8;       14
 Ac<3, d, f>; 9196.99424; 1186.70893;    0.45240;   4160749568;    536870912;         1;         8;       15
 Ac<3, d, f>; 9242.25616; 1120.27347;    0.47923;   4429185024;    536870912;         1;         8;       16
 Ac<3, d, f>; 9389.66044;  766.50289;    0.70042;   6576668672;    536870912;         1;         8;       24
 Ac<3, d, f>; 9485.28149;  583.70963;    0.91976;   8724152320;    536870912;         1;         8;       32
 Ac<3, d, f>; 9530.36997;  470.63555;    1.14074;  10871635968;    536870912;         1;         8;       40
 Ac<3, d, f>; 9563.70096;  394.37942;    1.36131;  13019119616;    536870912;         1;         8;       48
 Ac<3, d, f>; 9576.57819;  338.99392;    1.58372;  15166603264;    536870912;         1;         8;       56
 Ac<3, d, f>; 9605.89016;  297.85706;    1.80244;  17314086912;    536870912;         1;         8;       64
 Ac<3, d, f>; 9661.97337;  150.38091;    3.57007;  34493956096;    536870912;         1;         8;      128
 Ac<3, d, f>; 9673.11753;  100.49992;    5.34200;  51673825280;    536870912;         1;         8;      192
 Ac<3, d, f>; 9709.73809;   75.70946;    7.09120;  68853694464;    536870912;         1;         8;      256
 Ac<3, d, f>; 9676.38037;   37.76148;   14.21742; 137573171200;    536870912;         1;         8;      512
 Ac<3, d, f>;  359.49533; 1437.98133;    0.37335;    134217728;    536870912;         4;         8;        0
 Ac<3, d, f>; 1080.26373; 1440.35164;    0.37274;    402653184;    536870912;         4;         8;        1
 Ac<3, d, f>; 1799.45081; 1439.56065;    0.37294;    671088640;    536870912;         4;         8;        2
 Ac<3, d, f>; 2519.23113; 1439.56065;    0.37294;    939524096;    536870912;         4;         8;        3
 Ac<3, d, f>; 3239.01146; 1439.56065;    0.37294;   1207959552;    536870912;         4;         8;        4
 Ac<3, d, f>; 3956.61899; 1438.77054;    0.37315;   1476395008;    536870912;         4;         8;        5
 Ac<3, d, f>; 4673.43931; 1437.98133;    0.37335;   1744830464;    536870912;         4;         8;        6
 Ac<3, d, f>; 5377.68059; 1434.04816;    0.37437;   2013265920;    536870912;         4;         8;        7
 Ac<3, d, f>; 6084.71873; 1431.69852;    0.37499;   2281701376;    536870912;         4;         8;        8
 Ac<3, d, f>; 6785.74375; 1428.57763;    0.37581;   2550136832;    536870912;         4;         8;        9
 Ac<3, d, f>; 7495.94767; 1427.79956;    0.37601;   2818572288;    536870912;         4;         8;       10
 Ac<3, d, f>; 8169.79975; 1420.83474;    0.37786;   3087007744;    536870912;         4;         8;       11
 Ac<3, d, f>; 8794.41769; 1407.10683;    0.38154;   3355443200;    536870912;         4;         8;       12
 Ac<3, d, f>; 8932.21628; 1323.29130;    0.40571;   3623878656;    536870912;         4;         8;       13
 Ac<3, d, f>; 8986.02372; 1239.45155;    0.43315;   3892314112;    536870912;         4;         8;       14
 Ac<3, d, f>; 9021.38553; 1164.04975;    0.46121;   4160749568;    536870912;         4;         8;       15
 Ac<3, d, f>; 9064.07385; 1098.67562;    0.48865;   4429185024;    536870912;         4;         8;       16
 Ac<3, d, f>; 9267.71744;  756.54836;    0.70963;   6576668672;    536870912;         4;         8;       24
 Ac<3, d, f>; 9403.62048;  578.68434;    0.92774;   8724152320;    536870912;         4;         8;       32
 Ac<3, d, f>; 9460.73031;  467.19656;    1.14913;  10871635968;    536870912;         4;         8;       40
 Ac<3, d, f>; 9480.97265;  390.96794;    1.37318;  13019119616;    536870912;         4;         8;       48
 Ac<3, d, f>; 9507.72636;  336.55669;    1.59519;  15166603264;    536870912;         4;         8;       56
 Ac<3, d, f>; 9575.42663;  296.91245;    1.80818;  17314086912;    536870912;         4;         8;       64
 Ac<3, d, f>; 9628.83120;  149.86508;    3.58236;  34493956096;    536870912;         4;         8;      128
 Ac<3, d, f>; 9629.55509;  100.04733;    5.36617;  51673825280;    536870912;         4;         8;      192
 Ac<3, d, f>; 9610.37284;   74.93468;    7.16452;  68853694464;    536870912;         4;         8;      256
 Ac<3, d, f>; 9639.99822;   37.61951;   14.27108; 137573171200;    536870912;         4;         8;      512
       float;  366.12291; 1464.49164;    0.36659;    134217728;    536870912;         1;         8;        0
       float; 1098.98267; 1465.31023;    0.36639;    402653184;    536870912;         1;         8;        1
       float; 1828.57146; 1462.85717;    0.36700;    671088640;    536870912;         1;         8;        2
       float; 2552.87701; 1458.78686;    0.36803;    939524096;    536870912;         1;         8;        3
       float; 3282.27044; 1458.78686;    0.36803;   1207959552;    536870912;         1;         8;        4
       float; 4004.97772; 1456.35553;    0.36864;   1476395008;    536870912;         1;         8;        5
       float; 4725.27996; 1453.93229;    0.36925;   1744830464;    536870912;         1;         8;        6
       float; 5446.20488; 1452.32130;    0.36966;   2013265920;    536870912;         1;         8;        7
       float; 6158.71759; 1449.11002;    0.37048;   2281701376;    536870912;         1;         8;        8
       float; 6868.08612; 1445.91287;    0.37130;   2550136832;    536870912;         1;         8;        9
       float; 7574.33127; 1442.72977;    0.37212;   2818572288;    536870912;         1;         8;       10
       float; 8272.93075; 1438.77057;    0.37315;   3087007744;    536870912;         1;         8;       11
       float; 8957.90042; 1433.26407;    0.37458;   3355443200;    536870912;         1;         8;       12
       float; 9637.64716; 1427.79958;    0.37601;   3623878656;    536870912;         1;         8;       13
       float;10329.04358; 1424.69567;    0.37683;   3892314112;    536870912;         1;         8;       14
       float;10987.64742; 1417.76096;    0.37868;   4160749568;    536870912;         1;         8;       15
       float;11677.58108; 1415.46437;    0.37929;   4429185024;    536870912;         1;         8;       16
       float;15147.47177; 1236.52831;    0.43418;   6576668672;    536870912;         1;         8;       24
       float;16810.73344; 1034.50667;    0.51896;   8724152320;    536870912;         1;         8;       32
       float;17467.64049;  862.59953;    0.62239;  10871635968;    536870912;         1;         8;       40
       float;17856.71890;  736.35954;    0.72909;  13019119616;    536870912;         1;         8;       48
       float;18097.67343;  640.62561;    0.83804;  15166603264;    536870912;         1;         8;       56
       float;18263.43474;  566.30805;    0.94802;  17314086912;    536870912;         1;         8;       64
       float;18820.82012;  292.93105;    1.83276;  34493956096;    536870912;         1;         8;      128
       float;18933.93339;  196.71619;    2.72916;  51673825280;    536870912;         1;         8;      192
       float;19143.58746;  149.26774;    3.59670;  68853694464;    536870912;         1;         8;      256
       float;19268.10644;   75.19261;    7.13994; 137573171200;    536870912;         1;         8;      512
       float;  359.89016; 1439.56065;    0.37294;    134217728;    536870912;         4;         8;        0
       float; 1079.07792; 1438.77057;    0.37315;    402653184;    536870912;         4;         8;        1
       float; 1794.52353; 1435.61882;    0.37396;    671088640;    536870912;         4;         8;        2
       float; 2515.08763; 1437.19293;    0.37356;    939524096;    536870912;         4;         8;        3
       float; 3237.23372; 1438.77054;    0.37315;   1207959552;    536870912;         4;         8;        4
       float; 3956.61899; 1438.77054;    0.37315;   1476395008;    536870912;         4;         8;        5
       float; 4663.20737; 1434.83304;    0.37417;   1744830464;    536870912;         4;         8;        6
       float; 5377.68042; 1434.04811;    0.37437;   2013265920;    536870912;         4;         8;        7
       float; 6094.70457; 1434.04813;    0.37437;   2281701376;    536870912;         4;         8;        8
       float; 6808.00432; 1433.26407;    0.37458;   2550136832;    536870912;         4;         8;        9
       float; 7545.26301; 1437.19295;    0.37356;   2818572288;    536870912;         4;         8;       10
       float; 8232.26638; 1431.69850;    0.37499;   3087007744;    536870912;         4;         8;       11
       float; 8953.00549; 1432.48088;    0.37478;   3355443200;    536870912;         4;         8;       12
       float; 9648.15706; 1429.35660;    0.37560;   3623878656;    536870912;         4;         8;       13
       float;10323.43313; 1423.92181;    0.37704;   3892314112;    536870912;         4;         8;       14
       float;11059.42286; 1427.02231;    0.37622;   4160749568;    536870912;         4;         8;       15
       float;11747.35495; 1423.92181;    0.37704;   4429185024;    536870912;         4;         8;       16
       float;15850.26652; 1293.89931;    0.41492;   6576668672;    536870912;         4;         8;       24
       float;17429.78735; 1072.60230;    0.50053;   8724152320;    536870912;         4;         8;       32
       float;17867.43904;  882.34267;    0.60846;  10871635968;    536870912;         4;         8;       40
       float;18116.24993;  747.06185;    0.71864;  13019119616;    536870912;         4;         8;       48
       float;18271.81835;  646.79003;    0.83005;  15166603264;    536870912;         4;         8;       56
       float;18406.58374;  570.74678;    0.94065;  17314086912;    536870912;         4;         8;       64
       float;18905.32278;  294.24627;    1.82456;  34493956096;    536870912;         4;         8;      128
       float;19064.11859;  198.06876;    2.71053;  51673825280;    536870912;         4;         8;      192
       float;18581.75386;  144.88697;    3.70545;  68853694464;    536870912;         4;         8;      256
       float;18968.31734;   74.02270;    7.25279; 137573171200;    536870912;         4;         8;      512
std::int32_t;  366.32756; 1465.31025;    0.36639;    134217728;    536870912;         1;         8;        0
std::int32_t; 1098.36873; 1464.49164;    0.36659;    402653184;    536870912;         1;         8;        1
std::int32_t; 1829.59245; 1463.67396;    0.36680;    671088640;    536870912;         1;         8;        2
std::int32_t; 2554.29845; 1459.59911;    0.36782;    939524096;    536870912;         1;         8;        3
std::int32_t; 3278.62142; 1457.16508;    0.36844;   1207959552;    536870912;         1;         8;        4
std::int32_t; 4007.20396; 1457.16508;    0.36844;   1476395008;    536870912;         1;         8;        5
std::int32_t; 4720.04415; 1452.32128;    0.36966;   1744830464;    536870912;         1;         8;        6
std::int32_t; 5446.20488; 1452.32130;    0.36966;   2013265920;    536870912;         1;         8;        7
std::int32_t; 6151.91609; 1447.50967;    0.37089;   2281701376;    536870912;         1;         8;        8
std::int32_t; 6864.29993; 1445.11578;    0.37151;   2550136832;    536870912;         1;         8;        9
std::int32_t; 7574.33139; 1442.72979;    0.37212;   2818572288;    536870912;         1;         8;       10
std::int32_t; 8263.85949; 1437.19295;    0.37356;   3087007744;    536870912;         1;         8;       11
std::int32_t; 8967.70662; 1434.83306;    0.37417;   3355443200;    536870912;         1;         8;       12
std::int32_t; 9658.69006; 1430.91705;    0.37519;   3623878656;    536870912;         1;         8;       13
